,SCHID,AGEC_NEW,SCHTREAT_(0) Control school (no Roots meetings 2012-2013),SCHTREAT_(1) Treatment school (Roots meetings 2012-2013),GENDER_(0) Girl,GENDER_(1) Boy,GR_(0) 5th grade,GR_(1) 6th grade,GR_(2) 7th grade,GR_(3) 8th grade,COLL_(0) No,COLL_(1) Yes,COLL_(2) Maybe,COLL_(3) Don't know,CELL_(0) No cell phone,CELL_(1) Cell phone without Internet,CELL_(2) Cell phone with Internet,FSCH_(0) Do not go to this school,FSCH_(1) Do go to this school,TREAT_(0) Not treatment or control,TREAT_(1) Treatment,TREAT_(2) Control,Composite_Conflict_Score
933,3,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,-3.0
20959,53,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
16093,38,13.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,
11621,28,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
12447,30,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5737,17,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23143,58,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21222,53,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
7497,21,13.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,
20018,51,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
7362,21,12.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,
23393,59,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,
643,2,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,4.0
455,2,11.0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,-1.0
23511,59,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
1615,7,11.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.0
18671,46,12.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,
13128,32,9.0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
15204,36,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
6968,20,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14308,34,11.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,
2765,8,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
17263,41,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
22688,58,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
23475,59,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
16493,39,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,
5715,17,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
8129,22,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,
22702,58,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
15816,38,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
14172,34,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
8737,23,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
1658,7,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7.0
7352,21,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4117,12,11.0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,
1248,6,12.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,15.0
11608,28,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,
8218,22,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
20240,51,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
9701,24,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
6765,20,10.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,
11848,29,11.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
15631,38,11.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,
14103,34,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
16496,39,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
19144,48,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
2066,7,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,-5.0
11865,29,11.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
11781,28,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,
9780,24,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
15303,36,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
18616,45,,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,
7805,22,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
14401,35,11.0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
2774,8,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5348,16,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
18608,45,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,11.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0
12025,29,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6730,20,10.0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,
4961,14,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18402,45,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24136,60,12.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
19377,48,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
20913,53,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
13105,32,11.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,
14651,35,13.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,
17348,42,11.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,
15311,36,13.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
20888,53,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,
12976,31,14.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
23849,60,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
11264,27,11.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
